"name","place_id"
"Soon Heng Hong Kong Style Charcoal Roast","ChIJ72xdjXgZ2jERdrPy038AXTQ"
"Slappy Cakes Plaza Singapura","ChIJJaf_9qEQ2jERdGDHBDMJ1lA"
"He Xing 826 Seafood","ChIJZzEGdmw92jERyha6iRZKhH4"
"OPPA BBQ W","ChIJO3QDULwR2jEREA1efDMd-Pc"
"Taste Better Durian puff and ice cream","ChIJHx5to1gZ2jERIYWORvQKurE"
"The Coffee Bean & Tea Leaf","ChIJj7012tk82jER9Q7ZgsREZVQ"
"The Cocoa Trees","ChIJpUT_r6gZ2jERTiv7DKQszlk"
"Châteraisé","ChIJk5awMX0T2jERkZuYICPrR-s"
"Soon Huat Bak Kut Teh","ChIJHz8M5DE92jER3NR5Yjcrr_4"
"Rocky Master","ChIJ8ymoo0Ya2jER1KdX8ug6OYE"
"Yakitori Yatagarasu/やきとり八咫烏","ChIJUcQetQsZ2jERMoN_HRejhik"
"The Reading Room","ChIJEe8-k20Z2jERiJsfwMO9HNU"
"Shiraishi Food Enterprises Pte Ltd","ChIJOek7q6kZ2jERjSNvZ1jGoVo"
"Sum's Kitchen and Hong Kong Roasted Meat","ChIJqTqJTYAU2jERfYgviPh1xPs"
"KNS Indian Muslim Food","ChIJy3_ezG0W2jERtuMAyOIgK_o"
"Thai Tanic","ChIJvYIXJhIY2jERmCXhLAT8nkw"
"Cedele All Day Dining - Great World City","ChIJu3mTX4MZ2jERDCYrVz0h0QY"
"Carl's Jr","ChIJBx4xrhAb2jERWwB590UAKgQ"
"J Cafe - Singapore's Local Delights","ChIJQ0TLaTAj2jERfcyK8LhEmjo"
"Hokkaido Cheese Toast","ChIJRd4mv7oZ2jERuQnQxE2CH54"
"Xian Long Vegetarian Stall 仙隆素食","ChIJLyPWYcMW2jERAr7A_uvboCw"
"Koi Cafe","ChIJL6rI-mYX2jERbhTFQRX8wGk"
"Amber@West","ChIJqRcE9McR2jERRKnFWUwZQGY"
"Harry's Cuppage","ChIJ0Y0XW3UZ2jERNSXhW8ZGcc0"
"Baker’s Brew Studio","ChIJneWWsIEU2jERMNM0RyhBr44"
"Lijiang Restaurant","ChIJTS-riQQQ2jERyBJtMNI-HGk"
"Tekong Seafood Restaurant","ChIJ2WfIPhc82jERJ26aUJ6Vla8"
"PAUL Bakery @ Paragon Shopping Centre","ChIJg7ZWOpIZ2jERt27_f6aYJb4"
"Photosynthesis Cafè","ChIJmThzD5IX2jERBOT56xL92Qc"
"Dee Tongue Thai By Rung Mama","ChIJq6rqfrMZ2jER9CMcWTe4rtk"
"Sultan Cafe","ChIJPUBtrrYZ2jERsY90lFRZ93I"
"Tok Tok Indonesian Soup House","ChIJ92w6LZcZ2jERoi-l8LEZNag"
"Pontian Wanton Noodle","ChIJLZOq2mQW2jER3gIFFAVGeXo"
"Fishball Story","ChIJPR1O4w0Z2jERAiOqDAmHLTk"
"Cellarbration","ChIJJ51T0GQW2jER09RMYS7TKRo"
"Broadway Food Centre","ChIJpdCbpXwT2jERo9jX2FUvxpI"
"舊榜鹅 Old Punggol Satay","ChIJezdDd8wb2jERrBUTXnWmQyw"
"The Populus","ChIJ40h2uW0Z2jERA_TAOvT0Uzs"
"AM Bakery","ChIJI_Iq-zYW2jERt2uoCxLYRSo"
"CARNIVAL MUNCHIES","ChIJG8bD4T8Q2jERALVulgUZFoY"
"TORI-Q AMK Hub","ChIJUYZa0eYW2jERdvFCON8fVZQ"
